BadIndex	Word	Freq
1233	Liliaceae	35
1234	Prjedy	35
1235	Próškowe	35
1236	Słušeja	35
1237	Vysočina	35
1238	gymnazij	35
1239	jednory	35
1240	kozylistowych	35
1241	króć	35
1242	maslenka	35
1243	mlóčenjowych	35
1244	muske	35
1245	sakskeho	35
1246	stare	35
1247	wašnje	35
1248	zakładźe	35
1249	zwisach	35
1250	Čorny	35
1251	Łaćonsce	35
1252	šišmanc	35
1253	žiwy	35
1254	1781	34
1255	1940	34
1256	Alpach	34
1257	Alpski	34
1258	CDU	34
1259	Crassulaceae	34
1260	Festuca	34
1261	Hornje	34
1262	Jenož	34
1263	Lěsna	34
1264	Měnjate	34
1265	Ranunculus	34
1266	Wjele	34
1267	Wjesne	34
1268	dlěše	34
1269	hdys	34
1270	hlinjane	34
1271	jón	34
1272	knihi	34
1273	knježi	34
1274	lětami	34
1275	móža	34
1276	narěč	34
1277	natwarjena	34
1278	of	34
1279	pisaše	34
1280	pismo	34
1281	promjenjach	34
1282	prěnjeje	34
1283	skalnych	34
1284	srjedźišću	34
1285	swojim	34
1286	systema	34
1287	wersije	34
1288	wulkoměsto	34
1289	wysokich	34
1290	zwjazk	34
1291	zwjazkowy	34
1292	Łužica	34
1293	žiwa	34
1294	žiwjenja	34
1295	žiwjenje	34
1296	1964	33
1297	96	33
1298	Běły	33
1299	Iridaceae	33
1300	Nowe	33
1301	SAP	33
1302	Zo	33
1303	dwulětna	33
1304	horu	33
1305	hranicu	33
1306	jenička	33
1307	keluch	33
1308	krajach	33
1309	krala	33
1310	kultury	33
1311	měsac	33
1312	městow	33
1313	n	33
1314	napřećo	33
1315	natwari	33
1316	nažołć	33
1317	officinalis	33
1318	parkach	33
1319	poprawom	33
1320	pódla	33
1321	předsydu	33
1322	rodow	33
1323	spočatk	33
1324	steješe	33
1325	stolicy	33
1326	słowjanske	33
1327	tučnołopjenakowych	33
1328	tymjenjach	33
1329	wobě	33
1330	woda	33
1331	wěža	33
1332	ćopłych	33
1333	łaćonskeho	33
1334	štomy	33
1335	1919	32
1336	1922	32
1337	1944	32
1338	1947	32
1339	3,5	32
1340	45	32
1341	Andricki	32
1342	Budyskim	32
1343	Hodźij	32
1344	Hornjej	32
